id,series,title,type,first_published,read
AC000,Hercule Poirot,The Mysterious Affair at Styles,Novel,1920,0
AC001,Hercule Poirot,The Murder on the Links,Novel,1923,0
AC002,Tommy & Tuppence,The Secret Adversary,Novel,1922,0
AC003,Hercule Poirot,Poirot Investigates,Collection,1924,0
AC004,Other,The Man in the Brown Suit,Novel,1924,0
AC005,Other,The Secret of Chimneys,Novel,1925,0
AC006,Hercule Poirot,The Murder of Roger Ackroyd,Novel,1926,0
AC007,Hercule Poirot,The Big Four,Novel,1927,0
AC008,Hercule Poirot,The Mystery of the Blue Train,Novel,1928,0
AC009,Other,The Seven Dials Mystery,Novel,1929,0
AC010,Other,Giant's Bread,Novel,1930,0
AC011,Miss Marple,The Murder at the Vicarage,Novel,1930,0
AC012,Other,The Floating Admiral,Novel,1931,0
AC013,Other,The Sittaford Mystery,Novel,1931,0
AC014,Hercule Poirot,Peril At End House,Novel,1932,0
AC015,Other,Ask a Policeman,Novel,1933,0
AC016,Hercule Poirot,Lord Edgware Dies,Novel,1933,0
AC017,Hercule Poirot,Murder on the Orient Express,Novel,1934,0
AC018,Hercule Poirot,Three Act Tragedy,Novel,1934,0
AC019,Other,Unfinished Portrait,Novel,1934,0
AC020,Other,Why Didn't They Ask Evans?,Novel,1934,0
AC021,Hercule Poirot,Death In The Clouds,Novel,1935,0
AC022,Hercule Poirot,Cards on the Table,Novel,1936,0
AC023,Hercule Poirot,Murder in Mesopotamia,Novel,1936,0
AC024,Other,Six Against the Yard,Novel,1936,0
AC025,Hercule Poirot,The ABC Murders,Novel,1936,0
AC026,Hercule Poirot,Death On The Nile,Novel,1937,0
AC027,Hercule Poirot,Dumb Witness,Novel,1937,0
AC028,Hercule Poirot,Murder in the Mews,Collection,1937,0
AC029,Hercule Poirot,Appointment With Death,Novel,1938,0
AC030,Other,Murder is Easy,Novel,1938,0
AC031,Other,And Then There Were None,Novel,1939,0
AC032,Hercule Poirot,Hercule Poirot's Christmas,Novel,1938,0
AC033,Hercule Poirot,The Regatta Mystery and Other Stories,Collection,1939,0
AC034,Hercule Poirot,Evil Under The Sun,Novel,1940,0
AC035,Tommy & Tuppence,N or M?,Novel,1941,0
AC036,Hercule Poirot,"One, Two, Buckle My Shoe",Novel,1940,0
AC037,Miss Marple,The Body in the Library,Novel,1942,0
AC038,Miss Marple,The Moving Finger,Novel,1942,0
AC039,Other,Absent In The Spring,Novel,1944,0
AC040,Other,Death Comes As The End,Novel,1944,0
AC041,Other,Towards Zero,Novel,1944,0
AC042,Other,Sparkling Cyanide,Novel,1945,0
AC043,Hercule Poirot,Sad Cypress,Novel,1940,0
AC044,Hercule Poirot,Five Little Pigs,Novel,1942,0
AC045,Other,The Rose and the Yew Tree,Novel,1948,0
AC046,Other,Crooked House,Novel,1949,0
AC047,Miss Marple,A Murder is Announced,Novel,1950,0
AC048,Other,They Came to Baghdad,Novel,1951,0
AC049,Other,A Daughter's A Daughter,Novel,1952,0
AC050,Hercule Poirot,The Hollow,Novel,1946,0
AC051,Miss Marple,They Do it with Mirrors,Novel,1952,0
AC052,Miss Marple,A Pocket Full of Rye,Novel,1953,0
AC053,Hercule Poirot,The Labours of Hercules,Collection,1947,0
AC054,Other,Destination Unknown,Novel,1954,0
AC055,Hercule Poirot,Taken at the Flood,Novel,1948,0
AC056,Hercule Poirot,The Under Dog and Other Stories,Collection,1951,0
AC057,Hercule Poirot,Mrs. McGinty's Dead,Novel,1952,0
AC058,Other,The Burden,Novel,1956,0
AC059,Miss Marple,4:50 From Paddington,Novel,1957,0
AC060,Other,Ordeal By Innocence,Novel,1958,0
AC061,Hercule Poirot,After the Funeral,Novel,1953,0
AC062,Other,The Pale Horse,Novel,1961,0
AC063,Miss Marple,The Mirror Crack'd from Side to Side,Novel,1962,0
AC064,Hercule Poirot,Hercule Poirot And The Greenshore Folly,Novel,1954,0
AC065,Miss Marple,A Caribbean Mystery,Novel,1964,0
AC066,Miss Marple,At Bertram's Hotel,Novel,1965,0
AC067,Hercule Poirot,Hickory Dickory Dock,Novel,1955,0
AC068,Other,Endless Night,Novel,1967,0
AC069,Tommy & Tuppence,By The Pricking Of My Thumbs,Novel,1968,0
AC070,Hercule Poirot,Dead Man's Folly,Novel,1956,0
AC071,Other,Passenger to Frankfurt,Novel,1970,0
AC072,Miss Marple,Nemesis,Novel,1971,0
AC073,Hercule Poirot,Cat Among the Pigeons,Novel,1959,0
AC074,Tommy & Tuppence,Postern of Fate,Novel,1973,0
AC075,Hercule Poirot,The Clocks,Novel,1963,0
AC076,Miss Marple,Sleeping Murder,Novel,1976,0
AC077,Hercule Poirot,Third Girl,Novel,1966,0
AC078,Tommy & Tuppence,Partners In Crime,Collection,1929,0
AC079,Other,The Mysterious Mr. Quin,Collection,1930,0
AC080,Miss Marple,The Thirteen Problems,Collection,1932,0
AC081,Other,Parker Pyne Investigates,Collection,1934,0
AC082,Hercule Poirot,Hallowe'en Party,Novel,1969,0
AC083,Hercule Poirot,Elephants Can Remember,Novel,1972,0
AC084,Hercule Poirot,Curtain: Poirot's Last Case,Novel,1975,0
AC085,Other,The Witness for the Prosecution and Other Stories,Collection,1948,0
AC086,Other,Three Blind Mice and Other Stories,Collection,1950,0
AC087,Hercule Poirot,Midwinter Murder: Fireside Tales from the Queen of Mystery,Collection,2020,0
AC088,Other,Double Sin and Other Stories,Collection,1961,0
AC089,Other,The Golden Ball and Other Stories,Collection,1971,0
AC090,Other,The Harlequin Tea Set and Other Stories,Collection,1997,0
AC091,Miss Marple,Miss Marple: The Complete Short Stories,Collection,2011,0
AC092,Other,The Last Séance: Tales of the Supernatural,Collection,2019,0
AC093,Hercule Poirot,Midsummer Mysteries,Collection,2021,0
AC094,Other,A Deadly Affair: Unexpected Love Stories from the Queen of Mystery,Collection,2022,0
AC095,Other,Star over Bethlehem: Poems and Holiday Stories,Collection,1965,0
AC096,Other,An Autobiography,Memoir,1977,0
AC097,Other,"Come, Tell Me How You Live",Memoir,1946,0
